date,flow_m3s
2019-04-01,91.6
2019-04-02,121.0
2019-04-03,131.0
2019-04-04,200.0
2019-04-05,128.0
2019-04-06,125.0
2019-04-07,125.0
2019-04-08,143.0
2019-04-09,136.0
2019-04-10,136.0
2019-04-11,144.0
2019-04-12,139.0
2019-04-13,139.0
2019-04-14,104.0
2019-04-15,161.0
2019-04-16,161.0
2019-04-17,97.4
2019-04-18,127.0
2019-04-19,97.8
2019-04-20,119.0
2019-04-21,92.3
2019-04-22,127.0
2019-04-23,145.0
2019-04-24,143.0
2019-04-25,122.0
2019-04-26,143.0
2019-04-27,123.0
2019-04-28,105.0
2019-04-29,176.0
2019-04-30,135.0
2019-05-01,84.0
2019-05-02,172.0
2019-05-03,124.0
2019-05-04,85.6
2019-05-05,106.0
2019-05-06,161.0
2019-05-07,162.0
2019-05-08,159.0
2019-05-09,167.0
2019-05-10,150.0
2019-05-11,158.0
2019-05-12,104.0
2019-05-13,160.0
2019-05-14,159.0
2019-05-15,162.0
2019-05-16,156.0
2019-05-17,164.0
2019-05-18,160.0
2019-05-19,112.0
2019-05-20,157.0
2019-05-21,107.0
2019-05-22,162.0
2019-05-23,176.0
2019-05-24,157.0
2019-05-25,157.0
2019-05-26,126.0
2019-05-27,155.0
2019-05-28,179.0
2019-05-29,152.0
2019-05-30,92.3
2019-05-31,89.1
2019-06-01,104.0
2019-06-02,130.0
2019-06-03,187.0
2019-06-04,184.0
2019-06-05,92.9
2019-06-06,81.9
2019-06-07,62.0
2019-06-08,59.6
2019-06-09,56.8
2019-06-10,78.9
2019-06-11,157.0
2019-06-12,174.0
2019-06-13,182.0
2019-06-14,213.0
2019-06-15,151.0
2019-06-16,102.0
2019-06-17,138.0
2019-06-18,204.0
2019-06-19,248.0
2019-06-20,202.0
2019-06-21,198.0
2019-06-22,174.0
2019-06-23,96.2
2019-06-24,172.0
2019-06-25,220.0
2019-06-26,232.0
2019-06-27,239.0
2019-06-28,230.0
2019-06-29,82.3
2019-06-30,60.2
2019-07-01,59.1
2019-07-02,123.0
2019-07-03,47.3
2019-07-04,49.1
2019-07-05,48.5
2019-07-06,66.1
2019-07-07,84.1
2019-07-08,108.0
2019-07-09,93.0
2019-07-10,60.6
2019-07-11,60.8
2019-07-12,60.2
2019-07-13,73.6
2019-07-14,59.7
2019-07-15,59.5
2019-07-16,59.4
2019-07-17,78.0
2019-07-18,69.1
2019-07-19,59.8
2019-07-20,60.1
2019-07-21,62.6
2019-07-22,63.0
2019-07-23,84.0
2019-07-24,106.0
2019-07-25,176.0
2019-07-26,198.0
2019-07-27,157.0
2019-07-28,109.0
2019-07-29,171.0
2019-07-30,72.8
2019-07-31,86.2
2019-08-01,86.2
2019-08-02,63.6
2019-08-03,61.5
2019-08-04,60.7
2019-08-05,151.0
2019-08-06,109.0
2019-08-07,101.0
2019-08-08,80.2
2019-08-09,133.0
2019-08-10,108.0
2019-08-11,110.0
2019-08-12,159.0
2019-08-13,143.0
2019-08-14,95.2
2019-08-15,51.0
2019-08-16,81.5
2019-08-17,137.0
2019-08-18,48.6
2019-08-19,146.0
2019-08-20,102.0
2019-08-21,47.1
2019-08-22,46.0
2019-08-23,46.6
2019-08-24,90.8
2019-08-25,50.0
2019-08-26,48.0
2019-08-27,46.7
2019-08-28,86.5
2019-08-29,159.0
2019-08-30,60.0
2019-08-31,47.6
2019-09-01,91.2
2019-09-02,55.1
2019-09-03,156.0
2019-09-04,82.5
2019-09-05,49.6
2019-09-06,146.0
2019-09-07,72.9
2019-09-08,60.1
2019-09-09,52.9
2019-09-10,40.8
2019-09-11,40.6
2019-09-12,39.3
2019-09-13,37.8
2019-09-14,37.3
2019-09-15,36.4
2019-09-16,35.9
2019-09-17,34.8
2019-09-18,34.5
2019-09-19,34.4
2019-09-20,32.5
2019-09-21,31.6
2019-09-22,32.6
2019-09-23,32.0
2019-09-24,31.3
2019-09-25,29.6
2019-09-26,29.7
2019-09-27,29.3
2019-09-28,28.1
2019-09-29,29.9
2019-09-30,30.9
